id,name,ability,type,classfication,hp,attack,defense,sp_attack,sp_defense,speed,pokedex_number,capture_rate,height_m,weight_kg,generation,is_legendary,percentage_male,experience_growth,image
1,Bulbasaur,Overgrow,grass,Seed Pokemon,45,49,49,65,65,45,1,45,0.7,6.9,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png
2,Ivysaur,Overgrow,grass,Seed Pokemon,60,62,63,80,80,60,2,45,1,13,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png
3,Venusaur,Overgrow,grass,Seed Pokemon,80,100,123,122,120,80,3,45,2,100,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png
4,Charmander,Blaze,fire,Lizard Pokemon,39,52,43,60,50,65,4,45,0.6,8.5,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png
5,Charmeleon,Blaze,fire,Flame Pokemon,58,64,58,80,65,80,5,45,1.1,19,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png
6,Charizard,Blaze,fire,Flame Pokemon,78,104,78,159,115,100,6,45,1.7,90.5,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png
7,Squirtle,Torrent,water,Tiny Turtle Pokemon,44,48,65,50,64,43,7,45,0.5,9,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png
8,Wartortle,Torrent,water,Turtle Pokemon,59,63,80,65,80,58,8,45,1,22.5,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png
9,Blastoise,Torrent,water,Shellfish Pokemon,79,103,120,135,115,78,9,45,1.6,85.5,1,0,88.1,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png
10,Caterpie,Shield Dust,bug,Worm Pokemon,45,30,35,20,20,45,10,255,0.3,2.9,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png
11,Metapod,Shed Skin,bug,Cocoon Pokemon,50,20,55,25,25,30,11,120,0.7,9.9,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/11.png
12,Butterfree,Compoundeyes,bug,Butterfly Pokemon,60,45,50,90,80,70,12,45,1.1,32,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/12.png
13,Weedle,Shield Dust,bug,Hairy Pokemon,40,35,30,20,20,50,13,255,0.3,3.2,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/13.png
14,Kakuna,Shed Skin,bug,Cocoon Pokemon,45,25,50,25,25,35,14,120,0.6,10,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/14.png
15,Beedrill,Swarm,bug,Poison Bee Pokemon,65,150,40,15,80,145,15,45,1,29.5,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/15.png
16,Pidgey,Keen Eye,normal,Tiny Bird Pokemon,40,45,40,35,35,56,16,255,0.3,1.8,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/16.png
17,Pidgeotto,Keen Eye,normal,Bird Pokemon,63,60,55,50,50,71,17,120,1.1,30,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/17.png
18,Pidgeot,Keen Eye,normal,Bird Pokemon,83,80,80,135,80,121,18,45,1.5,39.5,1,0,50,1059860,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/18.png
19,Rattata,Run Away,normal,Mouse Pokemon,30,56,35,25,35,72,19,255,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/19.png
20,Raticate,Run Away,normal,Mouse Pokemon,75,71,70,40,80,77,20,127,,,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/20.png
21,Spearow,Keen Eye,normal,Tiny Bird Pokemon,40,60,30,31,31,70,21,255,0.3,2,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/21.png
22,Fearow,Keen Eye,normal,Beak Pokemon,65,90,65,61,61,100,22,90,1.2,38,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/22.png
23,Ekans,Intimidate,poison,Snake Pokemon,35,60,44,40,54,55,23,255,2,6.9,1,0,50,1000000,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/23.png
